,ProtocolName,labels
0,HTTP_PROXY,18
2,HTTP,15
7,HTTP_CONNECT,16
8,SSL,30
9,GOOGLE,13
36,YOUTUBE,39
100,FACEBOOK,10
101,CONTENT_FLASH,6
255,DROPBOX,8
279,WINDOWS_UPDATE,37
316,AMAZON,0
330,MICROSOFT,21
932,TOR,32
1151,GMAIL,12
1483,YAHOO,38
1526,MSN,23
1650,SSL_NO_CERT,31
1754,SKYPE,29
2501,MS_ONE_DRIVE,25
2615,MSSQL,24
3366,TWITTER,33
6730,APPLE_ICLOUD,2
8899,CLOUDFLARE,5
10390,UBUNTUONE,34
13836,OFFICE_365,27
15554,WIKIPEDIA,36
21715,OPENSIGNAL,28
21757,DNS,7
22813,HTTP_DOWNLOAD,17
23541,WHATSAPP,35
24394,APPLE_ITUNES,3
25689,FTP_DATA,11
28134,CITRIX,4
28891,APPLE,1
29408,MQTT,22
29471,INSTAGRAM,19
34493,EBAY,9
41859,GOOGLE_MAPS,14
68283,IP_ICMP,20
88017,NTP,26
