,labels
1626,18
21411,0
4350,15
25813,18
10531,18
24767,30
15786,13
94647,15
57768,39
18252,16
98426,13
31270,15
12233,15
90562,15
72003,13
89380,13
40816,15
13516,30
22399,15
88111,13
42704,15
47189,15
6798,13
32403,21
24617,0
74103,15
85671,15
64567,18
14588,16
82719,13
60917,0
37814,15
85692,15
41729,30
4560,15
26329,37
32162,5
97369,30
6340,15
82913,15
20086,18
20979,15
38707,21
34137,15
4062,15
59820,30
33571,10
14247,30
54901,15
98874,30
10263,15
22635,15
19077,21
47759,18
50007,16
31968,15
96095,13
37609,15
8922,13
37294,13
53210,13
92948,18
34652,15
25555,15
40017,15
41030,18
26450,39
27954,18
85582,13
58149,15
79844,13
14207,13
66511,13
96586,15
84789,15
94925,18
92287,15
10779,13
94840,15
98710,15
72195,13
34809,13
49467,18
66723,13
53363,39
58139,18
91856,16
13287,13
9490,18
2315,15
7189,13
48606,15
79195,8
51025,39
49817,18
31865,18
43910,18
15801,16
83201,16
30877,13
67101,13
53604,15
97464,15
70977,13
59927,15
62217,16
57590,15
34526,15
46092,30
119,30
15745,13
30374,15
50904,13
23171,30
4279,15
72469,13
26839,13
28835,15
20542,13
25370,18
2262,13
19314,13
17226,13
3826,13
68883,15
74259,15
10458,30
88359,13
72205,18
74521,15
58590,15
231,16
39601,15
38822,0
47000,13
72482,13
79851,15
48977,18
21505,13
34296,37
97564,13
52963,13
42552,13
36131,13
6476,39
7239,39
72725,18
43102,15
62898,18
79894,15
65444,33
29016,30
5402,15
77769,15
15295,39
48901,15
36229,15
64184,16
31720,18
95444,13
65149,30
31980,18
70470,13
64692,13
47598,30
43573,13
86259,13
61316,13
4961,18
18253,16
12364,13
70555,8
86285,16
32717,23
41294,15
71047,8
38570,16
47275,15
34864,18
72108,15
25828,21
4415,21
59571,30
28608,15
61096,18
5434,15
70676,13
37709,15
53391,18
31223,15
88671,15
39676,15
97478,15
70474,13
31316,15
28625,13
49132,13
43860,15
2478,15
18605,15
27504,13
76930,16
85810,15
76263,10
37943,13
72668,13
47602,13
63154,18
85722,18
87991,18
5794,15
46504,18
80092,15
54334,30
2434,15
73813,15
80458,30
30646,18
47795,15
33475,18
88024,13
45950,18
15095,30
70177,13
12443,15
62803,18
70535,15
18579,13
34621,13
21376,13
16027,15
76722,15
88817,15
30471,39
97630,17
95908,15
84620,18
20127,15
95996,15
53802,23
47135,13
77147,18
47177,15
19872,18
80388,15
98259,18
5224,21
56988,15
15526,16
414,15
614,16
85304,15
81179,15
84014,15
90755,21
35588,13
22079,15
19627,18
16238,15
19062,30
76536,13
59696,5
74949,13
76110,13
44717,21
15800,15
41733,15
4689,15
81881,30
50034,16
52853,18
21363,30
59550,18
95330,15
34380,37
90784,15
95884,13
42728,13
30450,15
90967,15
30534,37
65731,30
16408,39
7770,13
75998,18
87012,18
69715,15
99558,30
20714,15
95590,18
46477,15
73005,29
93320,13
88557,30
33550,21
34739,15
23721,15
31637,15
9217,15
71394,30
33711,13
40549,15
40124,15
54193,15
91316,15
88512,21
8416,33
41051,16
47119,30
18350,16
44996,30
75771,16
64234,13
46413,15
44554,30
95426,30
58676,13
13300,39
94593,37
28550,15
9700,15
29671,18
18661,15
38056,13
57867,39
88951,15
54384,30
7759,15
4866,37
84119,15
16765,13
76773,13
99250,15
45998,16
27086,37
97892,16
33881,18
55609,18
99917,10
64366,15
27246,30
83268,16
74489,15
58531,30
12279,30
29244,30
22440,37
56915,15
30887,13
75539,13
54095,15
56159,13
97129,18
62680,18
8481,12
9789,13
22854,15
15833,30
14565,16
22550,30
13151,10
53007,15
56652,15
57583,15
47329,36
27875,29
5825,13
77024,13
63079,13
50313,18
91514,16
14197,13
79208,15
10213,18
94612,15
67595,15
85331,13
71795,13
25764,16
72780,13
70271,15
63262,13
64794,15
72059,30
87956,18
44450,39
83221,15
81744,37
11360,39
82378,16
47996,16
25181,39
32551,5
92182,15
18536,18
90210,30
68013,15
96606,0
86147,15
45238,30
36754,30
60269,13
11063,15
19297,30
78466,15
16796,30
94151,13
88639,15
27300,13
59983,15
8843,30
97374,15
93284,12
49192,16
30071,15
31242,30
25386,16
38406,15
86439,15
40,18
96212,15
676,16
95922,15
36822,13
9116,18
4946,18
41629,15
83013,15
88421,16
46697,15
88291,13
37623,30
94827,15
73532,30
20847,15
52106,18
56966,15
19626,15
10204,30
81551,13
29471,19
18174,13
75694,13
28930,39
74501,30
23847,16
93283,15
68258,13
66933,8
22800,37
89166,13
89201,0
34732,15
53581,18
33301,13
67723,15
42003,15
44457,18
56202,12
99636,16
27839,13
70510,13
65176,13
10413,18
93351,18
61526,13
12607,15
66264,15
638,13
18088,39
15601,16
50293,15
13112,21
84532,15
98599,15
349,15
30848,18
28334,30
31701,30
31299,13
67969,39
13679,15
13351,39
87594,13
32475,15
60253,15
69608,13
47026,15
9894,18
41576,18
33587,21
27007,15
82103,38
20989,30
58807,16
13312,15
50126,30
73277,33
28578,18
44657,16
62248,13
49541,15
76433,39
65766,13
69072,30
92340,18
48049,16
82744,30
89272,15
56141,18
72356,18
25130,13
7370,15
132,30
18795,15
33398,21
79496,15
97176,13
22603,30
93176,15
5146,13
12539,13
70160,23
55080,16
61129,30
68445,13
53517,13
52697,13
20153,33
34554,30
3024,18
99934,15
13319,16
88029,15
96599,15
18125,30
25668,30
90312,18
79557,13
98842,16
58434,13
35258,16
65541,10
31002,15
92406,15
30912,37
59427,5
1611,13
83233,13
33996,38
84658,16
83394,15
30480,15
11384,30
41809,30
28064,37
56205,13
32556,15
8915,15
31547,18
31088,15
68018,12
29722,15
4608,30
70553,30
12080,18
96396,18
47337,15
68329,18
33072,16
62772,15
22289,18
53905,30
80560,15
1707,18
23410,15
19891,13
81621,39
15306,16
76453,15
22157,13
6497,15
15015,15
35536,15
7322,18
5150,15
51344,16
25126,13
84295,18
91007,15
18944,16
94210,13
81931,39
12551,30
35177,15
99019,13
55312,13
64065,18
20983,27
24682,15
64209,30
25309,8
41597,13
85992,18
78789,30
47121,30
51475,15
90752,13
77726,15
88649,30
77659,13
17599,15
32407,30
98562,18
49911,30
16274,30
12903,13
9088,13
69902,9
9053,15
82610,18
70919,15
50003,18
94014,16
85100,13
67851,15
29370,13
55075,21
83930,13
83112,16
52342,18
15435,6
67113,30
33192,18
46088,16
47745,15
43083,13
82487,15
66315,39
47860,15
80752,15
31257,13
91892,30
90735,16
48100,15
58565,36
28472,15
3400,15
834,16
31294,37
9323,15
69476,30
20169,15
38326,13
61579,30
29781,13
55208,13
7820,15
80991,13
7980,15
69315,16
6791,15
21545,15
75171,15
14182,18
56663,13
79516,18
59868,30
55329,15
70778,13
74024,13
97305,30
7468,13
84213,15
90252,30
67337,15
97875,15
47233,18
24057,18
92982,15
70626,30
29422,18
1125,16
36963,16
30747,15
83826,38
464,13
69566,15
12273,30
9388,0
69568,15
361,15
78288,15
66667,13
69886,15
7159,15
52353,15
87974,13
3921,15
26160,15
28535,16
64512,13
67043,39
64125,13
31284,29
24810,18
43666,15
48355,13
82795,15
73883,30
28798,0
64851,39
2887,30
26572,13
82268,15
48024,13
26691,13
43854,18
31832,15
13361,13
33645,15
71881,15
3767,15
63081,13
51422,13
74518,15
13796,15
79783,15
21132,30
85836,15
70763,13
40726,15
37334,15
39026,16
45885,16
35184,30
56923,18
34477,18
51163,16
64938,21
17927,18
5005,18
47304,29
74151,13
90699,15
19767,18
42309,13
89920,13
9887,18
70850,30
89966,15
14560,37
41852,15
39308,30
46456,30
21475,23
62827,13
84052,15
26699,30
47884,30
76935,15
39858,16
53623,15
50206,18
52460,18
74424,12
91797,15
99858,30
93161,15
50361,30
66685,13
20193,15
39275,30
45429,18
33950,13
39698,15
89192,16
98861,39
55867,15
99547,15
70771,13
79427,15
36701,9
22489,15
12287,15
56909,13
23115,30
58210,39
26505,13
53062,13
65454,15
85044,18
98573,18
60858,15
19140,15
76070,15
39404,15
34101,15
55165,15
52209,39
37847,13
20510,13
34158,39
83546,39
21303,16
75314,15
86698,30
84030,18
3524,13
18001,10
56585,15
55068,13
12197,15
17052,30
57716,30
78904,39
49739,13
37047,30
42227,30
39923,15
2503,18
43193,15
95907,15
57162,15
27968,13
68784,15
33386,18
54427,30
74237,13
16311,15
74469,15
24466,21
64626,18
19153,39
81829,39
93038,15
48563,15
51302,15
85622,13
75732,13
29486,15
14670,18
4067,15
25727,13
57789,15
67431,13
98461,15
72588,18
76324,15
10012,18
52456,18
98162,15
73968,13
81352,30
43650,16
33649,21
