,labels
84247,13
66054,13
56096,15
35047,16
12774,15
48325,15
88714,15
94633,16
4284,16
47367,16
24157,15
90243,15
40326,18
78626,39
12797,15
36876,18
94353,39
78837,15
46161,30
11798,18
19561,30
39721,15
39477,18
42912,15
25163,37
57751,39
37046,15
58555,13
31476,30
66870,18
67053,13
4272,15
11854,18
40372,30
3462,39
5835,39
72627,13
37536,13
1289,15
4414,21
56252,39
69744,18
86935,18
89085,13
41513,13
79234,13
40282,13
4755,16
14369,15
63447,15
7638,39
14841,15
39106,15
82465,13
10763,13
29807,31
89046,18
2444,38
1849,15
62649,13
84877,21
7357,15
49356,15
4681,30
13937,39
7725,39
55556,15
9492,16
95605,15
95940,15
35552,15
65118,15
59834,16
2713,15
2846,15
94948,13
86722,13
15108,15
89106,15
87972,18
98063,8
68353,18
24418,37
89790,15
41813,18
66566,18
89852,30
7010,30
31272,21
57973,18
65868,13
35377,16
86885,16
99341,15
25127,13
68593,13
90277,15
15010,15
72511,13
11209,15
40539,15
80240,30
23243,18
98672,15
20262,13
75596,8
2756,39
46660,15
18885,18
7932,13
82817,15
97171,15
75469,13
28892,18
16727,16
99948,16
42004,15
83762,13
81200,30
33447,15
66076,15
90876,15
8233,15
85107,13
64138,15
29131,15
52667,15
5805,39
85762,15
87831,15
75386,18
1380,15
72666,18
21268,15
88896,13
99863,13
92251,21
72866,15
97028,13
41331,15
67405,13
28605,12
4296,18
49377,15
95065,18
91377,15
87211,30
32785,37
85857,18
7334,18
30269,15
68754,18
9744,15
48228,13
17448,15
41982,18
23328,15
8677,18
85170,13
1653,15
64251,15
95601,13
10693,15
86721,13
55337,15
10123,16
17964,16
12897,30
54093,21
28079,13
99846,16
10784,0
67406,13
40048,15
13899,13
72717,13
75174,13
64406,13
50395,15
1786,18
9848,13
52829,0
23177,15
86936,13
43350,15
76007,18
56562,18
43936,16
18789,13
83718,18
18926,15
50760,15
42435,13
55705,30
67358,13
11256,29
22482,15
65580,15
88931,16
85620,15
66862,13
62835,13
87102,13
96995,30
8537,13
29492,30
64149,18
99496,15
63073,15
81996,30
11240,15
47825,18
75873,18
24373,13
64048,15
64677,13
75895,15
8531,15
36993,13
39975,18
56461,18
92314,15
17797,15
68726,8
69938,33
50025,15
53401,13
52938,30
16187,15
44068,18
75861,13
22101,13
84436,15
55722,39
73902,13
41247,15
1936,18
9755,15
79431,15
59885,18
264,15
33807,15
64913,21
18101,15
94081,15
22894,18
14016,15
70338,15
69029,15
32675,18
14723,15
49068,15
47540,18
505,15
26617,37
38346,15
29306,30
47804,15
88641,15
53787,16
85056,15
80256,39
85159,13
41009,39
28998,37
98944,18
51463,18
70041,13
95569,15
50562,29
48051,15
87078,15
96603,15
10161,15
58597,15
29872,13
42143,15
40832,21
29487,15
